index,Date,EPS,Ticker,TTM EPS
2,2021-09-30,-0.23,PSNY,-3.55
1,2021-12-31,1.82,PSNY,-1.73
0,2022-03-31,0.15,PSNY,1.5899999999999999
50,2010-03-31,-0.27,TSLA,-0.41000000000000003
49,2010-06-30,-0.34,TSLA,-0.6500000000000001
48,2010-09-30,-0.03,TSLA,-0.64
47,2010-12-31,0.43,TSLA,-0.21000000000000008
46,2011-03-31,-0.03,TSLA,0.029999999999999943
45,2011-06-30,-0.04,TSLA,0.33
44,2011-09-30,-0.04,TSLA,0.31999999999999995
43,2011-12-31,-0.05,TSLA,-0.1600000000000001
42,2012-03-31,-0.06,TSLA,-0.19000000000000009
41,2012-06-30,-0.07,TSLA,-0.22000000000000008
40,2012-09-30,-0.07,TSLA,-0.2500000000000001
39,2012-12-31,-0.05,TSLA,-0.2500000000000001
38,2013-03-31,0.0,TSLA,-0.1900000000000001
37,2013-06-30,-0.02,TSLA,-0.1400000000000001
36,2013-09-30,-0.02,TSLA,-0.09000000000000008
35,2013-12-31,-0.0,TSLA,-0.040000000000000084
34,2014-03-31,-0.03,TSLA,-0.07000000000000009
33,2014-06-30,-0.03,TSLA,-0.08000000000000007
32,2014-09-30,-0.04,TSLA,-0.10000000000000009
31,2014-12-31,-0.06,TSLA,-0.1600000000000001
30,2015-03-31,-0.08,TSLA,-0.21000000000000008
29,2015-06-30,-0.1,TSLA,-0.2800000000000001
28,2015-09-30,-0.12,TSLA,-0.3600000000000001
27,2015-12-31,-0.17,TSLA,-0.4700000000000001
26,2016-03-31,-0.14,TSLA,-0.5300000000000001
25,2016-06-30,-0.14,TSLA,-0.5700000000000001
24,2016-09-30,0.01,TSLA,-0.4400000000000001
23,2016-12-31,-0.04,TSLA,-0.31000000000000016
22,2017-03-31,-0.14,TSLA,-0.3100000000000001
21,2017-06-30,-0.14,TSLA,-0.3100000000000001
20,2017-09-30,-0.25,TSLA,-0.5700000000000001
19,2017-12-31,-0.27,TSLA,-0.8
18,2018-03-31,-0.28,TSLA,-0.9400000000000002
17,2018-06-30,-0.28,TSLA,-1.08
16,2018-09-30,0.12,TSLA,-0.7100000000000002
15,2018-12-31,0.06,TSLA,-0.3800000000000001
14,2019-03-31,-0.27,TSLA,-0.3700000000000001
13,2019-06-30,-0.15,TSLA,-0.24000000000000007
12,2019-09-30,0.05,TSLA,-0.3100000000000001
11,2019-12-31,0.05,TSLA,-0.32000000000000006
10,2020-03-31,0.01,TSLA,-0.04000000000000007
9,2020-06-30,0.03,TSLA,0.13999999999999993
8,2020-09-30,0.09,TSLA,0.17999999999999994
7,2020-12-31,0.08,TSLA,0.20999999999999994
6,2021-03-31,0.13,TSLA,0.32999999999999996
5,2021-06-30,0.34,TSLA,0.6399999999999999
4,2021-09-30,0.48,TSLA,1.0299999999999998
3,2021-12-31,0.68,TSLA,1.63
2,2022-03-31,0.95,TSLA,2.4499999999999997
1,2022-06-30,0.65,TSLA,2.76
0,2022-09-30,0.95,TSLA,3.23
48,2010-09-30,1.2,GM,2.6
47,2010-12-31,0.31,GM,2.91
