ticker,zacks_x_ind_desc,comp_name,comp_name_2,country_code,market_val,pe_ratio_12m,price_per_sales,price_book,div_yield,cons_recom_curr,held_by_insiders_pct,held_by_institutions_pct,link,sector
STLA,Auto Manufacturers - Foreign,stellantis,Stellantis,Netherlands,48402.18,0,0,0.69,0,2.06,0,32.95,<a href='https://www.macrotrends.net/stocks/charts/STLA/stellantis/stock-price-history'>Stellantis (STLA)</a>,Auto
HMC,Auto Manufacturers - Foreign,honda,Honda,Japan,40985.98,7.75,0.32,0.48,5.55,1.67,0.01,5.48,<a href='https://www.macrotrends.net/stocks/charts/HMC/honda/stock-price-history'>Honda (HMC)</a>,Auto
CNHI,Auto Manufacturers - Foreign,cnh-industrial,CNH Industrial,United Kingdom,22479.7,12.2,0.88,3.57,0,1.55,0,38.37,<a href='https://www.macrotrends.net/stocks/charts/CNHI/cnh-industrial/stock-price-history'>CNH Industrial (CNHI)</a>,Auto
LI,Auto Manufacturers - Foreign,li-auto,Li Auto,China,21815.11,0,3.77,3.52,0,1.08,48.5,20.97,<a href='https://www.macrotrends.net/stocks/charts/LI/li-auto/stock-price-history'>Li Auto (LI)</a>,Auto
TTM,Auto Manufacturers - Foreign,tata-motors,Tata Motors,India,17866.88,0,0.45,4.63,0,2.5,0,3.93,<a href='https://www.macrotrends.net/stocks/charts/TTM/tata-motors/stock-price-history'>Tata Motors (TTM)</a>,Auto
NIO,Auto Manufacturers - Foreign,nio,NIO,China,17307.59,0,2.67,4.19,0,1.45,1,30.06,<a href='https://www.macrotrends.net/stocks/charts/NIO/nio/stock-price-history'>NIO (NIO)</a>,Auto
PSNY,Auto Manufacturers - Foreign,polestar-automotive-holding-uk,Polestar Automotive Holding UK,United States,11966.9,0,0,0,0,0,0.02,1.31,<a href='https://www.macrotrends.net/stocks/charts/PSNY/polestar-automotive-holding-uk/stock-price-history'>Polestar Automotive Holding UK (PSNY)</a>,Auto
XPEV,Auto Manufacturers - Foreign,xpeng,XPeng,China,8649.94,0,1.89,1.56,0,2.72,27.6,24.87,<a href='https://www.macrotrends.net/stocks/charts/XPEV/xpeng/stock-price-history'>XPeng (XPEV)</a>,Auto
CZOO,Auto Manufacturers - Foreign,cazoo-group,Cazoo Group,United Kingdom,146.77,0,0,0.22,0,2.6,0,70.83,<a href='https://www.macrotrends.net/stocks/charts/CZOO/cazoo-group/stock-price-history'>Cazoo Group (CZOO)</a>,Auto
CENN,Auto Manufacturers - Foreign,cenntro-electric-group,Cenntro Electric Group,United States,106.56,0,0,0.44,0,0,30.9,8.17,<a href='https://www.macrotrends.net/stocks/charts/CENN/cenntro-electric-group/stock-price-history'>Cenntro Electric Group (CENN)</a>,Auto
SOLO,Auto Manufacturers - Foreign,electrameccanica-vehicles,ElectraMeccanica Vehicles,Canada,81.84,0,14.79,0.44,0,1,0,8.93,<a href='https://www.macrotrends.net/stocks/charts/SOLO/electrameccanica-vehicles/stock-price-history'>ElectraMeccanica Vehicles (SOLO)</a>,Auto
SEV,Auto Manufacturers - Foreign,sono-group,Sono Group,Germany,78.95,0,0,2.45,0,1.5,0,6.88,<a href='https://www.macrotrends.net/stocks/charts/SEV/sono-group/stock-price-history'>Sono Group (SEV)</a>,Auto
VEV,Auto Manufacturers - Foreign,vicinity-motor,Vicinity Motor,Canada,44.71,0,2.38,1.2,0,0,0,1.1,<a href='https://www.macrotrends.net/stocks/charts/VEV/vicinity-motor/stock-price-history'>Vicinity Motor (VEV)</a>,Auto
GP,Auto Manufacturers - Foreign,greenpower-motor,GreenPower Motor,Canada,42.73,0,2.02,1.44,0,1,28.1,4.59,<a href='https://www.macrotrends.net/stocks/charts/GP/greenpower-motor/stock-price-history'>GreenPower Motor (GP)</a>,Auto
JZXN,Auto Manufacturers - Foreign,jiuzi-holdings,Jiuzi Holdings,China,3.31,0,0,0.16,0,0,0,1.46,<a href='https://www.macrotrends.net/stocks/charts/JZXN/jiuzi-holdings/stock-price-history'>Jiuzi Holdings (JZXN)</a>,Auto
TM,Auto Manufacturers - Foreign,toyota,Toyota,Japan,0,9.38,0,0.93,2.25,2.33,0,0,<a href='https://www.macrotrends.net/stocks/charts/TM/toyota/stock-price-history'>Toyota (TM)</a>,Auto
TSLA,Auto Manufacturers - Domestic,tesla,Tesla,United States,357015.5,34.93,4.77,8.77,0,2.13,25.1,43,<a href='https://www.macrotrends.net/stocks/charts/TSLA/tesla/stock-price-history'>Tesla (TSLA)</a>,Auto
GM,Auto Manufacturers - Domestic,general-motors,General Motors,United States,51017.22,5.26,0.35,0.73,1,2.06,0.1,78.92,<a href='https://www.macrotrends.net/stocks/charts/GM/general-motors/stock-price-history'>General Motors (GM)</a>,Auto
F,Auto Manufacturers - Domestic,ford-motor,Ford Motor,United States,50577.82,7.77,0.33,1.2,4.77,2.66,0.71,49.68,<a href='https://www.macrotrends.net/stocks/charts/F/ford-motor/stock-price-history'>Ford Motor (F)</a>,Auto
PCAR,Auto Manufacturers - Domestic,paccar,PACCAR,United States,34888.04,13.43,1.27,2.71,1.48,2.62,2.05,63.92,<a href='https://www.macrotrends.net/stocks/charts/PCAR/paccar/stock-price-history'>PACCAR (PCAR)</a>,Auto
RIVN,Auto Manufacturers - Domestic,rivian-automotive,Rivian Automotive,United States,15103.67,0,14.4,0.98,0,1.91,2.34,67.97,<a href='https://www.macrotrends.net/stocks/charts/RIVN/rivian-automotive/stock-price-history'>Rivian Automotive (RIVN)</a>,Auto
LCID,Auto Manufacturers - Domestic,lucid,Lucid,United States,10687.54,0,28.36,3.31,0,2.16,62.5,0,<a href='https://www.macrotrends.net/stocks/charts/LCID/lucid/stock-price-history'>Lucid (LCID)</a>,Auto
HOG,Auto Manufacturers - Domestic,harley-davidson,Harley-Davidson,United States,6407.25,9.06,1.18,2.26,1.44,2.67,0.62,83.96,<a href='https://www.macrotrends.net/stocks/charts/HOG/harley-davidson/stock-price-history'>Harley-Davidson (HOG)</a>,Auto
PII,Auto Manufacturers - Domestic,polaris,Polaris,United States,5993.49,11.34,0.7,5.88,2.48,2.33,2.2,86.57,<a href='https://www.macrotrends.net/stocks/charts/PII/polaris/stock-price-history'>Polaris (PII)</a>,Auto
IAA,Auto Manufacturers - Domestic,iaa,IAA,United States,5268.99,16.83,2.48,11.36,0,2.71,0.5,99.77,<a href='https://www.macrotrends.net/stocks/charts/IAA/iaa/stock-price-history'>IAA (IAA)</a>,Auto
FOXF,Auto Manufacturers - Domestic,fox-factory-holding,Fox Factory Holding,United States,4140.94,19.17,2.7,3.92,0,1.4,0.17,98.71,<a href='https://www.macrotrends.net/stocks/charts/FOXF/fox-factory-holding/stock-price-history'>Fox Factory Holding (FOXF)</a>,Auto
FSR,Auto Manufacturers - Domestic,fisker,Fisker,United States,2208.33,0,28679.52,3.74,0,2.38,45.75,28.95,<a href='https://www.macrotrends.net/stocks/charts/FSR/fisker/stock-price-history'>Fisker (FSR)</a>,Auto
LVWR,Auto Manufacturers - Domestic,livewire,LiveWire,United States,1054.52,0,0,131.44,0,0,0,0.31,<a href='https://www.macrotrends.net/stocks/charts/LVWR/livewire/stock-price-history'>LiveWire (LVWR)</a>,Auto
NKLA,Auto Manufacturers - Domestic,nikola,Nikola,United States,1019.95,0,0,1.64,0,2.33,18.3,20.86,<a href='https://www.macrotrends.net/stocks/charts/NKLA/nikola/stock-price-history'>Nikola (NKLA)</a>,Auto
PTRA,Auto Manufacturers - Domestic,proterra,Proterra,United States,825.33,0,2.77,1.4,0,2,3.8,60.04,<a href='https://www.macrotrends.net/stocks/charts/PTRA/proterra/stock-price-history'>Proterra (PTRA)</a>,Auto
BLBD,Auto Manufacturers - Domestic,blue-bird,Blue Bird,United States,419.53,0,0.52,303.57,0,1,17.2,91.43,<a href='https://www.macrotrends.net/stocks/charts/BLBD/blue-bird/stock-price-history'>Blue Bird (BLBD)</a>,Auto
LEV,Auto Manufacturers - Domestic,lion-electric,Lion Electric,Canada,401.11,0,3.46,0.98,0,1.69,16.6,43.71,<a href='https://www.macrotrends.net/stocks/charts/LEV/lion-electric/stock-price-history'>Lion Electric (LEV)</a>,Auto
GOEV,Auto Manufacturers - Domestic,canoo,Canoo,United States,353.71,0,0,1.43,0,1.5,21.9,52.5,<a href='https://www.macrotrends.net/stocks/charts/GOEV/canoo/stock-price-history'>Canoo (GOEV)</a>,Auto
MULN,Auto Manufacturers - Domestic,mullen-automotive,Mullen Automotive,United States,192.46,0,0,9.84,0,0,33.4,6.64,<a href='https://www.macrotrends.net/stocks/charts/MULN/mullen-automotive/stock-price-history'>Mullen Automotive (MULN)</a>,Auto
VRM,Auto Manufacturers - Domestic,vroom,Vroom,United States,143.7,0,0.05,0.32,0,2.75,9.4,32.06,<a href='https://www.macrotrends.net/stocks/charts/VRM/vroom/stock-price-history'>Vroom (VRM)</a>,Auto
XOS,Auto Manufacturers - Domestic,xos,Xos,United States,136.33,0,4.38,1.06,0,1.83,54.6,12.07,<a href='https://www.macrotrends.net/stocks/charts/XOS/xos/stock-price-history'>Xos (XOS)</a>,Auto
VLTA,Auto Manufacturers - Domestic,volta,Volta,United States,76.47,0,1.52,0.46,0,2.88,26.1,20.37,<a href='https://www.macrotrends.net/stocks/charts/VLTA/volta/stock-price-history'>Volta (VLTA)</a>,Auto
BRDS,Auto Manufacturers - Domestic,bird-global,Bird Global,United States,64.93,0,0.27,1.49,0,3,36.4,53.45,<a href='https://www.macrotrends.net/stocks/charts/BRDS/bird-global/stock-price-history'>Bird Global (BRDS)</a>,Auto
ZEV,Auto Manufacturers - Domestic,lightning-emotors,Lightning EMotors,United States,46.37,0,1.91,0.73,0,1.5,3.5,29.48,<a href='https://www.macrotrends.net/stocks/charts/ZEV/lightning-emotors/stock-price-history'>Lightning EMotors (ZEV)</a>,Auto
EVTV,Auto Manufacturers - Domestic,envirotech-vehicles,Envirotech Vehicles,United States,41.7,0,5.38,0.58,0,0,5.8,5.17,<a href='https://www.macrotrends.net/stocks/charts/EVTV/envirotech-vehicles/stock-price-history'>Envirotech Vehicles (EVTV)</a>,Auto
VLCN,Auto Manufacturers - Domestic,volcon,Volcon,United States,29.5,0,7.07,3.77,0,0,41.1,4.23,<a href='https://www.macrotrends.net/stocks/charts/VLCN/volcon/stock-price-history'>Volcon (VLCN)</a>,Auto
