Ticker,Company,Pearson R,Pearson P-Value,Number of Quarters
PSNY,polestar-automotive-holding-uk,0.9861012212915008,0.10626438697780856,3
TSLA,tesla,0.4760006063303276,0.00041477118696680904,51
GM,general-motors,0.25993544855136425,0.07127503733758417,49
F,ford-motor,-0.335048592872992,0.015183623865262457,52
PCAR,paccar,0.7951329274778597,1.9245485560512526e-12,52
RIVN,rivian-automotive,-0.05814768817880145,0.9014522185440416,7
LCID,lucid,0.7616145240117446,0.028100808415786542,8
HOG,harley-davidson,0.3769682620034246,0.00587447115970653,52
PII,polaris,0.32853822119854287,0.017408963594367922,52
IAA,iaa,0.9531081688777617,1.1804551790412583e-08,16
FOXF,fox-factory-holding,0.9169389164318241,1.4929153463168222e-17,42
FSR,fisker,-0.9142815313711584,2.8430824640219763e-07,17
LVWR,livewire,-0.6472453383512602,0.16470611365859214,6
NKLA,nikola,-0.9713605277503939,3.928738773953449e-10,16
PTRA,proterra,0.9150576698068343,0.001436237076587819,8
BLBD,blue-bird,0.11837801596292033,0.5049071787088409,34
GOEV,canoo,0.028302656917500488,0.926871773666963,13
MULN,mullen-automotive,0.7404407028426542,9.188684022517554e-09,44
VRM,vroom,0.6649488593096635,0.01830615766654659,12
XOS,xos,0.5037102005812724,0.30833637407388054,6
BWA,borgwarner,0.6072931995729756,1.8099377270426983e-06,52
LEA,lear,0.3414054545434224,0.013249767988628697,52
GNTX,gentex,0.924655668551586,1.3121658019104928e-22,52
OSK,oshkosh,0.2691765338553511,0.05364952680195001,52
DRVN,driven-brands-holdings,0.051735985321553296,0.8871299647471104,10
VC,visteon,-0.1942615047412731,0.16759487262364506,52
ALSN,allison-transmission-holdings,0.739090802207688,4.480992887581097e-09,46
CHPT,chargepoint-holdings,-0.036056655323661396,0.8984876252781826,15
LCII,lci-industries,0.8251346265644623,5.3689960233704546e-14,52
QS,quantumscape,0.6173429668770861,0.07651296516721723,9
DAN,dana,0.3738229872747531,0.006335535616387301,52
THRM,gentherm-inc,0.6456914410242186,2.35776939332649e-07,52
XPEL,xpel,0.9830091220626916,5.916653324030842e-11,15
CTOS,custom-truck-one-source,0.18421810193369959,0.45026623276435535,19
LAZR,luminar-technologies,-0.14989493301018894,0.6250013481064747,13
WNC,wabash-national,0.3186753075969687,0.021305419755528264,52
MOD,modine-manufacturing,-0.08275507415689407,0.5597245632339102,52
EVGO,evgo,-0.9139968881961318,0.010776740336321707,6
AXL,american-axle-manufacturing-holdings,-0.3451383018861504,0.012215689713825003,52
SHYF,shyft,0.594474592768068,3.3719150225495265e-06,52
HYLN,hyliion-holdings,-0.9551832374581026,3.7376092113404724e-07,13
HYZN,hyzon-motors,-0.2712168145937878,0.5158560519583303,8
PRTS,carparts,0.23781308222282194,0.08957229574783553,52
SLDP,solid-power,0.91789413565442,0.02789156259059299,5
MLR,miller-industries,0.6434254412845576,2.680155085368824e-07,52
AEVA,aeva-technologies,-0.9916586557178606,1.7311550257048825e-07,9
HLLY,holley,-0.1484624344888137,0.7507307288026838,7
WKHS,workhorse,-0.36082261259312043,0.008592548502264359,52
CVGI,commercial-vehicle,0.19581863807481165,0.16414865389038635,52
CPS,cooper-standard-holdings,-0.6463267833300504,2.2741196976213165e-07,52
CPTN,cepton,0.2601744794761787,0.46785382900691336,10
RIDE,lordstown-motors,-0.7108103242649044,0.006458767722773159,13
VLDR,velodyne-lidar,-0.7756202953610781,0.0006784796834459652,15
BEEM,beam-global,-0.038911005270225396,0.8471994828137404,27
FFIE,faraday-future-intelligent-electric,-0.6789502216295412,0.09349558450632804,7
SUP,superior-industries,-0.4920614469828269,0.0002113838321663834,52
ARVL,arrival,-1.0,1.0,2
LTCH,latch,0.7715097717153906,0.07234719234197223,6
GPC,genuine-parts,0.22881970570164756,0.10275107800317212,52
LKQ,lkq,0.868734103458202,7.099163749857313e-17,52
DORM,dorman-products,0.9184761461913219,8.743957692985846e-22,52
CARG,cargurus,-0.27972993740993074,0.19610965217904766,23
PLOW,douglas-dynamics,-0.009848992466732522,0.944753010920361,52
SMP,standard-motor-products,0.6802476121811266,2.9044771804649493e-08,52
MPAA,motorcar-parts-of-america,0.1588987425209225,0.26052654926875435,52
DHR,danaher,0.7630511785470299,4.840728092876144e-11,52
HON,honeywell,0.781427921570428,8.152496040437671e-12,52
GE,general-electric,-0.64084898100978,3.0966480048826894e-07,52
MMM,3m,0.8988974411327881,1.5003820270518546e-19,52
IEP,icahn-enterprises,-0.27044575449946784,0.05248813478476893,52
CSL,carlisle,0.7881588042036443,4.065605646786073e-12,52
ITT,itt,-0.2223858567746291,0.11306217064905633,52
IAC,iac,-0.13872559749189073,0.651283428361894,13
FSS,federal-signal,0.6311596213972286,5.268428802162973e-07,52
GFF,griffon,0.43100965769655,0.0014234998289563263,52
VGR,vector-group,0.6059532095408972,1.934035928750927e-06,52
LXU,lsb-industries,-0.678720771121434,3.2049472369682206e-08,52
SPLP,steel-partners-holdings-lp,0.22565142228729512,0.11900439155145359,49
NPK,national-presto-industries,-0.54909035363003,2.4956206160710346e-05,52
VATE,innovate,-0.28563582888466527,0.04010558903141101,52
ALPP,alpine-4-holdings,-0.09996430483555732,0.7452381660444881,13
LIVE,live-ventures,0.6853815169072607,2.0769768463723654e-08,52
CVII,churchill-capital-corp-vii,0.9123536729646042,0.030735540776530502,5
AAC,ares-acquisition,0.763499747941462,0.02748169536088445,8
